,time,meassures of PM2.5 (qm)
0,0,10.52
1,10,6.46
2,20,14.14
3,30,10.17
4,40,7.84
5,50,11.93
6,60,8.26
7,70,5.63
8,80,14.4
9,90,3.89
10,100,6.75
11,110,9.62
12,120,9.64
13,130,6.67
14,140,13.0
15,150,16.65
16,160,9.4
17,170,2.89
18,180,8.19
19,190,0.97
20,200,6.56
21,210,9.9
22,220,6.17
23,230,14.77
24,240,11.27
25,250,7.76
26,260,16.02
27,270,9.11
28,280,5.74
29,290,9.07
30,300,12.97
31,310,15.32
32,320,5.63
33,330,10.5
34,340,12.24
35,350,9.3
36,360,13.55
37,370,6.43
38,380,11.19
39,390,9.43
40,400,8.31
41,410,8.97
42,420,3.25
43,430,11.21
44,440,10.36
45,450,9.75
46,460,15.77
47,470,8.94
48,480,13.38
49,490,10.58
50,500,5.53
51,510,10.15
52,520,9.05
53,530,9.45
54,540,10.25
55,550,9.23
56,560,8.47
57,570,4.76
58,580,11.53
59,590,11.54
60,600,5.84
61,610,5.8
62,620,9.46
63,630,5.62
64,640,7.45
65,650,10.51
66,660,13.14
67,670,7.08
68,680,6.43
69,690,1.4
70,700,7.48
71,710,6.94
72,720,4.0
73,730,15.86
74,740,4.12
75,750,12.66
76,760,8.06
77,770,3.4
78,780,8.62
79,790,11.31
80,800,4.38
81,810,14.19
82,820,8.42
83,830,11.95
84,840,7.55
85,850,4.63
86,860,12.01
87,870,15.28
88,880,8.34
89,890,10.67
90,900,13.19
91,910,11.86
92,920,1.77
93,930,8.99
94,940,6.68
95,950,13.74
96,960,8.98
97,970,6.88
98,980,12.64
99,990,11.06
100,1000,4.81
101,1010,9.04
102,1020,1.99
103,1030,9.4
104,1040,15.49
105,1050,10.4
106,1060,6.87
107,1070,6.55
108,1080,10.9
109,1090,3.3
110,1100,11.09
111,1110,11.12
112,1120,4.99
113,1130,5.75
114,1140,5.5
115,1150,11.33
116,1160,7.5
117,1170,20.39
118,1180,19.5
119,1190,7.31
120,1200,11.69
121,1210,10.48
122,1220,8.45
123,1230,0.31
124,1240,2.26
125,1250,6.28
126,1260,7.81
127,1270,10.24
128,1280,8.82
129,1290,7.34
130,1300,4.13
131,1310,4.38
132,1320,8.68
133,1330,5.45
134,1340,6.88
135,1350,6.94
136,1360,8.82
137,1370,9.33
138,1380,10.24
139,1390,13.79
140,1400,8.58
141,1410,8.57
142,1420,10.48
143,1430,15.17
144,1440,2.14
145,1450,3.64
146,1460,9.3
147,1470,11.76
148,1480,9.89
149,1490,1.36
150,1500,3.01
151,1510,8.38
152,1520,8.63
153,1530,13.79
154,1540,13.14
155,1550,10.46
156,1560,6.98
157,1570,6.31
158,1580,5.54
159,1590,11.84
160,1600,7.34
161,1610,2.91
162,1620,17.04
163,1630,9.39
164,1640,8.14
165,1650,6.45
166,1660,6.38
167,1670,4.93
168,1680,8.2
169,1690,2.66
170,1700,2.21
171,1710,9.12
172,1720,5.32
173,1730,14.02
174,1740,5.62
175,1750,14.82
176,1760,6.53
177,1770,11.28
178,1780,7.49
179,1790,5.96
180,1800,10.66
181,1810,8.09
182,1820,11.24
183,1830,9.41
184,1840,10.82
185,1850,7.77
186,1860,7.87
187,1870,14.24
188,1880,15.65
189,1890,3.69
190,1900,12.43
191,1910,15.34
192,1920,3.96
193,1930,12.63
194,1940,11.25
195,1950,4.0
196,1960,4.61
197,1970,5.97
198,1980,12.73
199,1990,5.16
200,2000,8.83
201,2010,16.93
202,2020,10.42
203,2030,11.98
204,2040,16.83
205,2050,2.34
206,2060,0.35
207,2070,9.08
208,2080,10.41
209,2090,7.66
210,2100,9.2
211,2110,5.04
212,2120,2.95
213,2130,10.41
214,2140,15.66
215,2150,10.14
216,2160,16.17
217,2170,12.62
218,2180,6.02
219,2190,19.47
220,2200,11.66
221,2210,2.3
222,2220,9.54
223,2230,8.94
224,2240,6.74
225,2250,11.13
226,2260,7.0
227,2270,10.13
228,2280,1.76
229,2290,3.01
230,2300,14.12
231,2310,14.66
232,2320,7.36
233,2330,8.69
234,2340,1.84
235,2350,4.12
236,2360,12.24
237,2370,3.1
238,2380,7.08
239,2390,13.88
240,2400,8.69
241,2410,14.46
242,2420,8.74
243,2430,14.8
244,2440,9.5
245,2450,14.1
246,2460,14.31
247,2470,13.74
248,2480,12.55
249,2490,10.74
250,2500,12.48
251,2510,15.69
252,2520,3.77
253,2530,7.38
254,2540,5.49
255,2550,13.25
256,2560,6.96
257,2570,13.0
258,2580,5.86
259,2590,6.1
260,2600,12.63
261,2610,8.18
262,2620,7.9
263,2630,9.98
264,2640,14.27
265,2650,9.02
266,2660,9.38
267,2670,5.53
268,2680,8.35
269,2690,9.51
270,2700,9.31
271,2710,8.67
272,2720,6.43
273,2730,0.19
274,2740,0.95
275,2750,12.22
276,2760,9.63
277,2770,3.8
278,2780,2.17
279,2790,0.88
280,2800,3.13
281,2810,12.01
282,2820,8.22
283,2830,9.5
284,2840,12.7
285,2850,16.25
286,2860,6.01
287,2870,6.92
288,2880,14.79
289,2890,6.2
290,2900,5.45
291,2910,10.29
292,2920,1.37
293,2930,13.43
294,2940,5.25
295,2950,3.52
296,2960,9.55
297,2970,6.6
298,2980,10.9
299,2990,6.51
300,3000,8.36
301,3010,8.42
302,3020,10.76
303,3030,6.67
304,3040,7.19
305,3050,11.2
306,3060,7.21
307,3070,5.39
308,3080,7.34
309,3090,10.37
310,3100,7.59
311,3110,0.88
312,3120,2.46
313,3130,14.79
314,3140,7.8
315,3150,12.98
316,3160,12.78
317,3170,0.84
318,3180,6.6
319,3190,10.43
320,3200,8.49
321,3210,11.39
322,3220,7.69
323,3230,11.73
324,3240,7.03
325,3250,3.93
326,3260,16.15
327,3270,12.34
328,3280,12.82
329,3290,14.04
330,3300,5.67
331,3310,6.46
332,3320,6.44
333,3330,2.72
334,3340,6.21
335,3350,4.29
336,3360,5.48
337,3370,10.7
338,3380,4.24
339,3390,9.67
340,3400,7.7
341,3410,6.45
342,3420,5.74
343,3430,12.06
344,3440,7.28
345,3450,15.08
346,3460,11.5
347,3470,8.53
348,3480,9.26
349,3490,15.18
350,3500,12.28
351,3510,7.38
352,3520,7.22
353,3530,3.2
354,3540,10.88
355,3550,6.43
356,3560,6.13
357,3570,13.63
358,3580,10.12
359,3590,7.21
360,3600,8.87
361,3610,9.38
362,3620,6.06
363,3630,7.09
364,3640,8.8
365,3650,4.66
366,3660,11.07
